Symbol,Date,High,Low,Open,Close
LINK,2019-09-24,2.06,1.59,1.81,1.74
LINK,2019-09-25,1.93,1.65,1.74,1.76
LINK,2019-09-26,1.76,1.56,1.76,1.66
LINK,2019-09-27,1.68,1.58,1.66,1.67
LINK,2019-09-28,1.71,1.66,1.67,1.69
LINK,2019-09-29,1.75,1.67,1.69,1.72
LINK,2019-09-30,1.77,1.65,1.72,1.76
LINK,2019-10-01,1.90,1.76,1.76,1.84
LINK,2019-10-02,2.02,1.83,1.84,2.02
LINK,2019-10-03,2.03,1.90,2.02,1.95
LINK,2019-10-04,2.00,1.91,1.95,1.98
LINK,2019-10-05,1.98,1.92,1.98,1.97
LINK,2019-10-06,2.27,1.96,1.97,2.19
LINK,2019-10-07,2.49,2.13,2.19,2.40
LINK,2019-10-08,2.63,2.28,2.40,2.58
LINK,2019-10-09,2.94,2.52,2.58,2.80
LINK,2019-10-10,2.81,2.50,2.81,2.64
LINK,2019-10-11,2.81,2.59,2.64,2.77
LINK,2019-10-12,2.78,2.57,2.78,2.61
LINK,2019-10-13,2.65,2.46,2.60,2.50
LINK,2019-10-14,2.67,2.47,2.50,2.54
LINK,2019-10-15,2.60,2.35,2.54,2.39
LINK,2019-10-16,2.42,2.20,2.40,2.39
LINK,2019-10-17,2.48,2.29,2.39,2.42
LINK,2019-10-18,2.51,2.34,2.42,2.36
LINK,2019-10-19,2.40,2.30,2.36,2.36
LINK,2019-10-20,2.44,2.30,2.36,2.44
LINK,2019-10-21,2.67,2.44,2.44,2.63
LINK,2019-10-22,2.82,2.58,2.63,2.61
LINK,2019-10-23,2.69,2.43,2.61,2.61
LINK,2019-10-24,2.79,2.61,2.62,2.75
LINK,2019-10-25,2.93,2.65,2.75,2.84
LINK,2019-10-26,2.99,2.67,2.84,2.75
LINK,2019-10-27,2.77,2.62,2.75,2.68
LINK,2019-10-28,2.89,2.67,2.68,2.67
LINK,2019-10-29,2.77,2.65,2.67,2.67
LINK,2019-10-30,2.68,2.53,2.67,2.62
LINK,2019-10-31,2.76,2.56,2.62,2.74
LINK,2019-11-01,2.80,2.66,2.74,2.72
LINK,2019-11-02,2.76,2.69,2.72,2.71
LINK,2019-11-03,2.72,2.65,2.71,2.67
LINK,2019-11-04,2.73,2.65,2.67,2.69
LINK,2019-11-05,2.70,2.64,2.68,2.68
LINK,2019-11-06,2.81,2.66,2.68,2.74
