Symbol,Date,High,Low,Open,Close
SOL,2020-11-08,2.26,1.97,2.03,2.16
SOL,2020-11-09,2.19,1.96,2.16,2.03
SOL,2020-11-10,2.31,2.01,2.03,2.25
SOL,2020-11-11,2.28,1.97,2.25,2.00
SOL,2020-11-12,2.05,1.83,2.00,1.90
SOL,2020-11-13,2.06,1.90,1.90,2.02
SOL,2020-11-14,2.03,1.88,2.02,1.92
SOL,2020-11-15,2.21,1.92,1.92,2.04
SOL,2020-11-16,2.36,1.99,2.04,2.26
SOL,2020-11-17,2.32,2.13,2.28,2.20
SOL,2020-11-18,2.21,2.01,2.20,2.12
SOL,2020-11-19,2.18,2.02,2.12,2.08
SOL,2020-11-20,2.23,2.06,2.08,2.10
SOL,2020-11-21,2.50,2.05,2.10,2.38
SOL,2020-11-22,2.40,2.05,2.38,2.14
SOL,2020-11-23,2.35,2.12,2.14,2.28
SOL,2020-11-24,2.47,2.14,2.28,2.27
SOL,2020-11-25,2.48,2.18,2.27,2.27
SOL,2020-11-26,2.29,1.74,2.27,1.90
SOL,2020-11-27,1.97,1.78,1.90,1.86
SOL,2020-11-28,1.94,1.81,1.86,1.89
SOL,2020-11-29,1.94,1.86,1.89,1.92
SOL,2020-11-30,2.01,1.91,1.92,1.97
SOL,2020-12-01,2.13,1.93,1.97,1.98
SOL,2020-12-02,2.19,1.96,1.98,2.12
SOL,2020-12-03,2.22,2.09,2.12,2.10
SOL,2020-12-04,2.11,1.85,2.10,1.86
SOL,2020-12-05,1.98,1.83,1.86,1.98
SOL,2020-12-06,1.98,1.82,1.98,1.85
SOL,2020-12-07,1.90,1.81,1.85,1.83
SOL,2020-12-08,1.83,1.65,1.83,1.67
SOL,2020-12-09,1.67,1.50,1.66,1.66
SOL,2020-12-10,1.67,1.55,1.66,1.57
SOL,2020-12-11,1.58,1.44,1.57,1.44
SOL,2020-12-12,1.54,1.44,1.44,1.49
SOL,2020-12-13,1.64,1.46,1.49,1.57
SOL,2020-12-14,1.62,1.52,1.57,1.59
SOL,2020-12-15,1.80,1.59,1.59,1.76
SOL,2020-12-16,1.79,1.61,1.76,1.78
SOL,2020-12-17,1.80,1.66,1.78,1.68
SOL,2020-12-18,1.71,1.64,1.68,1.70
SOL,2020-12-19,1.76,1.66,1.70,1.67
SOL,2020-12-20,1.68,1.53,1.67,1.56
SOL,2020-12-21,1.62,1.50,1.56,1.54
SOL,2020-12-22,1.57,1.47,1.54,1.49
SOL,2020-12-23,1.51,1.09,1.49,1.21
SOL,2020-12-24,1.38,1.17,1.21,1.36
SOL,2020-12-25,1.45,1.35,1.36,1.45
SOL,2020-12-26,1.45,1.31,1.45,1.32
SOL,2020-12-27,1.41,1.27,1.33,1.30
SOL,2020-12-28,1.52,1.29,1.30,1.52
SOL,2020-12-29,1.73,1.44,1.52,1.67
SOL,2020-12-30,1.68,1.53,1.67,1.54
SOL,2020-12-31,1.55,1.43,1.54,1.51
SOL,2021-01-01,1.86,1.50,1.51,1.84
SOL,2021-01-02,1.99,1.72,1.85,1.80
SOL,2021-01-03,2.36,1.80,1.80,2.16
SOL,2021-01-04,2.49,1.88,2.16,2.49
SOL,2021-01-05,2.50,2.08,2.49,2.16
SOL,2021-01-06,2.19,1.91,2.16,1.93
SOL,2021-01-07,2.61,1.93,1.94,2.37
SOL,2021-01-08,3.78,2.18,2.37,3.22
SOL,2021-01-09,3.66,2.94,3.22,3.39
SOL,2021-01-10,3.73,3.20,3.39,3.47
SOL,2021-01-11,3.51,2.60,3.46,3.11
SOL,2021-01-12,3.84,3.08,3.10,3.61
SOL,2021-01-13,3.63,3.27,3.63,3.51
SOL,2021-01-14,3.54,3.18,3.52,3.28
SOL,2021-01-15,3.44,2.99,3.28,3.25
SOL,2021-01-16,3.70,3.25,3.25,3.45
SOL,2021-01-17,3.97,3.32,3.43,3.82
SOL,2021-01-18,4.15,3.66,3.82,3.80
SOL,2021-01-19,4.03,3.61,3.79,3.64
SOL,2021-01-20,3.74,3.34,3.64,3.72
SOL,2021-01-21,3.73,2.98,3.72,2.99
SOL,2021-01-22,3.50,2.54,2.99,3.35
SOL,2021-01-23,3.60,3.32,3.34,3.50
SOL,2021-01-24,3.79,3.49,3.51,3.63
SOL,2021-01-25,3.97,3.45,3.63,3.70
SOL,2021-01-26,4.10,3.68,3.70,4.05
SOL,2021-01-27,4.05,3.53,4.05,3.69
SOL,2021-01-28,3.94,3.61,3.69,3.82
SOL,2021-01-29,3.89,3.64,3.86,3.83
SOL,2021-01-30,4.31,3.77,3.84,4.22
SOL,2021-01-31,4.79,4.17,4.24,4.26
SOL,2021-02-01,4.61,4.12,4.26,4.61
SOL,2021-02-02,5.40,4.48,4.61,5.27
SOL,2021-02-03,5.78,5.07,5.25,5.72
SOL,2021-02-04,6.53,5.60,5.73,6.43
SOL,2021-02-05,7.13,6.43,6.44,6.68
SOL,2021-02-06,6.80,5.71,6.69,6.11
SOL,2021-02-07,6.87,5.77,6.12,6.70
SOL,2021-02-08,8.06,6.49,6.70,7.88
SOL,2021-02-09,8.47,7.57,7.87,7.82
SOL,2021-02-10,9.07,7.61,7.82,9.07
SOL,2021-02-11,9.71,8.76,9.08,9.22
SOL,2021-02-12,9.92,9.08,9.21,9.25
SOL,2021-02-13,9.50,8.68,9.24,8.73
SOL,2021-02-14,9.22,8.56,8.74,8.74
SOL,2021-02-15,9.31,7.84,8.72,8.86
SOL,2021-02-16,8.98,7.98,8.86,8.30
SOL,2021-02-17,8.43,7.54,8.30,8.22
SOL,2021-02-18,9.28,8.23,8.23,8.98
SOL,2021-02-19,11.68,8.56,8.98,11.47
SOL,2021-02-20,11.79,9.82,11.48,10.00
SOL,2021-02-21,11.64,9.89,9.99,11.09
SOL,2021-02-22,14.55,9.26,11.07,14.45
SOL,2021-02-23,15.74,11.60,14.42,15.20
SOL,2021-02-24,18.15,14.86,15.21,17.30
SOL,2021-02-25,17.70,13.80,17.23,13.82
SOL,2021-02-26,15.48,13.12,13.87,13.59
SOL,2021-02-27,14.61,13.06,13.60,13.20
SOL,2021-02-28,13.78,11.49,13.21,13.09
SOL,2021-03-01,15.52,13.06,13.11,14.96
SOL,2021-03-02,15.22,13.46,14.97,13.96
SOL,2021-03-03,14.73,13.77,13.96,14.12
SOL,2021-03-04,14.26,12.77,14.09,13.10
SOL,2021-03-05,13.08,12.18,13.07,12.61
SOL,2021-03-06,13.27,11.90,12.57,13.04
SOL,2021-03-07,14.00,12.73,13.04,13.88
SOL,2021-03-08,13.87,13.08,13.83,13.60
SOL,2021-03-09,14.99,13.32,13.62,14.85
SOL,2021-03-10,15.19,14.08,14.85,14.23
SOL,2021-03-11,16.24,13.70,14.22,15.99
SOL,2021-03-12,16.49,14.11,16.02,14.55
SOL,2021-03-13,15.39,13.92,14.56,15.31
SOL,2021-03-14,15.35,14.38,15.30,14.51
SOL,2021-03-15,14.79,13.70,14.48,14.19
SOL,2021-03-16,14.28,13.23,14.16,13.62
SOL,2021-03-17,14.27,13.13,13.63,14.22
SOL,2021-03-18,14.75,13.83,14.21,14.23
SOL,2021-03-19,14.49,13.93,14.23,14.20
SOL,2021-03-20,14.98,14.15,14.20,14.21
SOL,2021-03-21,14.37,13.67,14.22,14.33
SOL,2021-03-22,16.60,14.20,14.35,14.92
SOL,2021-03-23,15.24,14.10,14.85,14.20
SOL,2021-03-24,15.37,13.66,14.19,13.66
SOL,2021-03-25,13.71,12.61,13.65,13.03
SOL,2021-03-26,14.80,12.37,13.02,14.78
SOL,2021-03-27,16.80,14.76,14.79,16.51
SOL,2021-03-28,19.39,16.35,16.48,18.02
SOL,2021-03-29,18.99,17.70,18.08,18.85
SOL,2021-03-30,20.87,18.89,18.89,19.23
SOL,2021-03-31,19.80,18.16,19.10,19.47
SOL,2021-04-01,20.36,18.84,19.42,19.08
SOL,2021-04-02,19.82,18.57,19.08,19.81
SOL,2021-04-03,23.83,19.79,19.80,22.55
SOL,2021-04-04,25.57,22.21,22.53,24.06
SOL,2021-04-05,24.78,22.81,23.93,22.98
SOL,2021-04-06,25.35,21.88,22.98,24.96
SOL,2021-04-07,27.49,23.09,25.15,26.48
SOL,2021-04-08,27.97,25.72,26.51,27.03
SOL,2021-04-09,29.01,26.90,26.99,27.78
SOL,2021-04-10,28.26,25.96,27.65,26.84
SOL,2021-04-11,28.69,25.58,26.81,27.93
SOL,2021-04-12,29.86,26.84,27.92,28.51
SOL,2021-04-13,28.80,26.42,28.54,27.44
